text,correct,relevant,irrelevant,,
"Support: Matter can exist in one of several different states, including a gas, liquid, or solid state. States of matter differ in the amount of energy their molecules have. When matter recycles, it changes state by gaining or losing energy. \n Question: When matter recycles and changes state what does it gain or lose by doing so?",energy,density,fog,,
Support: Independent assortment occurs when chromosomes go to opposite poles of the cell in anaphase I. Which chromosomes end up together at each pole is a matter of chance. You can see this in Figures 5.15 and 5.16 as well. \n Question: Independent assortment occurs when what go to opposite poles of the cell in anaphase i?,chromosomes,receptors,exact wavelength,,
Support: Centrioles are organelles that are found only in animal cells. They are located near the nucleus. They help organize the DNA in the nucleus before cell division takes place. They ensure that the DNA divides correctly when the cell divides. \n Question: What term is used to describe organelles that are found only in animal cells?,centrioles,anticlines,mating,,
"Support: The speed of a wave is a product of its wavelength and frequency. Because the speed of electromagnetic waves through space is constant, the wavelength or frequency of an electromagnetic wave can be calculated if the other value is known. \n Question: The speed of a wave is a product of its wavelength and what else?",frequency,voltage,nucleus,,
"Support: There are approximately 160,000 living species and probably 70,000 extinct species of mollusks. They are typically divided into ten classes, of which two are extinct. The major classes of living mollusks include gastropods, bivalves, and cephalopods ( Figure below ). \n Question: The major classes of living members of this phylum include gastropods, bivalves, and cephalopods?",mollusks,insects,fresh water bodies,,
"Support: No, not all birds can fly. And not all birds have wings. This penguin is a good example. Their wings have evolved into flippers, adapted for swimming instead of flying. The kiwi of New Zealand is another bird without wings. \n Question: What is caused by atoms or ions when they share or transfer valance electrons?",force of attraction,loss of charge,biology,,
Support: The angle of reflection equals the angle of incidence. A mirror has a smooth surface and reflects light at specific angles. Light is diffused when it reflects from a rough surface. Mirror images can be photographed and videotaped by instruments. \n Question: What kind of surface would cause diffusion when light is reflected off of it?,rough surfaces,hot surfaces,fungus,,
Support: An n-type (negative-type) semiconductor consists of silicon and an element such as phosphorus that gives the silicon crystal extra electrons. You can see this in the Figure above . An n-type semiconductor is like the negative terminal of a battery. \n Question: Silicon with an element that gives it extra electrons is which type of semiconductor?,n-type,m. Type,scientific law,,
"Support: The concentration of copper ions in the solution is effectively constant. This is because the electroplating process transfers metal from the anode to the cathode of the cell. Other metals commonly plated onto objects include chromium, gold, silver, and platinum. \n Question: The electroplating process transfers metal from the anode to which part of the cell?",cathode,plasma,resistor,,
"Support: Many birds learn to avoid eating monarch butterflies, like the one pictured in Figure below . Monarch butterflies taste bad and make birds sick. In this case, the behavior is learned because it is punished with a nasty taste and illness. \n Question: What type of butterfly do birds avoid eating since it makes them sick?",monarch butterflies,sphingidae,equilibrium,,
"Support: Sexual reproduction is typically slower. However, it also has an advantage. Sexual reproduction results in offspring that are all genetically different. This can be a big plus for a species. The variation may help it adapt to changes in the environment. \n Question: What kind of reproduction results in offspring that are generally all genetically different?",sexual,perceptual,wavelengths,,
"Support: During a massive eruption, all of the material may be ejected from a magma changer. Without support, the mountain above the empty chamber may collapse. This produces a huge caldera . Calderas are generally round, bowl-shaped formations ( Figure below ). \n Question: Huge calderas form when the mountain above an empty chamber of what collapses?",magma,gas,carcinogens,,
"Support: Amphibians have permeable skin that easily absorbs substances from the environment. This may explain why they seem to be especially sensitive to pollution. Monitoring the health and survival of amphibians may help people detect pollution early, before other organisms are affected. \n Question: What group of animals has permeable skin that makes them vulnerable to pollution?",amphibians,fish,aristotle,,
"Support: Physical properties that do not depend on the amount of substance present are called intensive properties . Intensive properties do not change with changes of size, shape, or scale. Examples of intensive properties are as follows in the Table below . \n Question: What are physical properties that do not depend on the substance present called?",intensive properties,extensive properties,carbon dioxide,,
"Support: As you can see from the figure, the egg rests in a nest of cells called a follicle . The follicle and egg grow larger and go through other changes. The follicle protects the egg as it matures in the ovary. \n Question: What nest of cells protect the egg as it matures in the ovary?",the follicle,the tube,psychoactive,,
"Support: We use simple machines because they give us a mechanical advantage . Mechanical advantage is a measurement of the force amplification of a machine. In ideal machines, where there is no friction and the input work and output work are the same,. \n Question: What is is a measurement of the force amplification of a machine?",mechanical advantage,mechanical push,volts,,
"Support: Ground type. Solid bedrock vibrates less than soft sediments, so there is less damage on bedrock. Sometimes sediments become saturated with water. They then undergo liquefaction and become like quicksand ( Figure below ). Soil on a hillside may become a landslide. \n Question: Solid bedrock vibrates less and therefore does less of what to bedrock?",damage,block,embryoblast,,
"Support: Like other female vertebrates, all female mammals have ovaries. These are the organs that produce eggs (see Figure below ). Therian mammals also have two additional female reproductive structures that are not found in other vertebrates. They are the uterus and vagina. \n Question: The organs of female mammals that that produce eggs are called what?",ovaries,testes,london dispersion,,
"Support: chlorine is added to an aqueous solution of bromide. iodine crystals are added to a solution of potassium bromide. Bromide is present in naturally occurring salt solutions called brines. Based on your answers, propose an effective method to remove bromide from brine. \n Question: Bromide is present in brines, which are naturally occurring solutions of what?",salt,iron,convection,,
"Support: The two ovaries are small, egg-shaped organs that lie on either side of the uterus. They produce eggs and secrete estrogen. Each egg is located inside a structure called a follicle. Cells in the follicle protect the egg and help it mature. \n Question: What are the egg shaped organs on either side of the uterus?",ovaries,lungs,glucose,,
"Support: Mollusks have a circulatory system with one or two hearts that pump blood. The heart is a muscular organ that pumps blood through the circulatory system when its muscles contract. The circulatory system may be open or closed, depending on the species. \n Question: The heart is a muscular organ that pumps blood through which system?",circulatory,endocrine,filter feeders,,
Support: Figure 21.3 Lymphatic Capillaries Lymphatic capillaries are interlaced with the arterioles and venules of the cardiovascular system. Collagen fibers anchor a lymphatic capillary in the tissue (inset). Interstitial fluid slips through spaces between the overlapping endothelial cells that compose the lymphatic capillary. \n Question: Lymphatic capillaries are interlaced with the arterioles and venules of which system?,cardiovascular system,skeletal systems,chameleons,,
"Support: Since the mid 1800s, Earth has warmed up quickly. Look at Figure below . The 14 hottest years on record have all occurred since 1900. Eight of them have occurred since 1998! This is what is usually meant by global warming . \n Question: Eight of the hottest years on record have occurred since what year?",1998,2002,gamete,,
"Support: About 75% of the tar sands in the world are in Venezuela and Alberta, Canada ( Figure below ). Large areas of land are degraded when tar sands are mined. A tremendous amount of waste rock is produced from mining tar sands. \n Question: Where are about 75% of the tar sands in the world located?","venezuela and alberta, canada","china and onatrio, canada",clotting factors,,
"Support: An electric motor is a device that uses an electromagnet to change electrical energy to kinetic energy. When current flows through the motor, the electromagnet rotates, causing a shaft to rotate as well. The rotating shaft moves other parts of the device. \n Question: What device uses an electromagnet to change electrical energy to kinetic energy?",electric motor,public motor,they could grow taller,,
Support: The respiratory system is the body system that exchanges gases with the outside air. It brings air containing oxygen into the body for the cells. It also releases carbon dioxide from the cells into the air. This exchange of gases is called respiration. \n Question: Which system in the body exchanges gases with the outside air?,respiratory,immune,acid rain,,
"Support: Electromagnetic waves transfer energy across space as well as through matter. They vary in their wavelengths and frequencies, and higher-frequency waves have more energy. The full range of wavelengths of electromagnetic waves, shown in the Figure below , is called the electromagnetic spectrum. \n Question: Electromagnetic waves transfer energy across space as well as through what?",matter,osmosis,autosomal recessive disorder,,
Support: The following ideas are important in understanding hybridization: 1. Hybrid orbitals do not exist in isolated atoms. They are formed only in covalently bonded atoms. Hybrid orbitals have shapes and orientations that are very different from those of the atomic orbitals in isolated. \n Question: Hybrid orbitals are formed only in which type of bonded atoms?,covalently,ionically,burning fossil fuels,,
"Support: A body that is lying down is described as either prone or supine. Prone describes a face-down orientation, and supine describes a face up orientation. These terms are sometimes used in describing the position of the body during specific physical examinations or surgical procedures. \n Question: What term describes the orientation of a body lying face-down?",prone,Under,experimental controls,,
"Support: A transverse wave is characterized by the high and low points reached by particles of the medium as the wave passes through. The high points are called crests, and the low points are called troughs. You can see both in the Figure below . \n Question: What are the high points in a transverse wave called?",crests,apex,rigel,,
"Support: The space shuttle program has been very successful. Over 100 mission have been flown. Space shuttle missions have made many scientific discoveries. Crews have launched many satellites. There have been other great achievements in space. However, the program has also had two tragic disasters. \n Question: Chemistry and physics are fields in what type of science?",physical,Meteorology,two,,
"Support: Protozoa can be classified on the basis of how they move. As shown in Table below , protozoa move in three different ways. Only sporozoa cannot move. Note that this classification is based only on differences in movement. It does not represent phylogenetic relationships. \n Question: Protozoa can be classified on the basis of how they?",move,smell,distance,,
"Support: This passage from a Bach cello suite could be played by any trained musician from any country, because there is agreement as to what the symbols on the page mean. In the same way, molecules are represented using symbols that all chemists agree upon. \n Question: Molecules are represented by symbols that all who agree on?",chemists,astrologists,elements,,
"Support: Minerals that are not pure elements are made of chemical compounds. For example, the mineral quartz is made of the compound silicon dioxide, or SiO 2 . This compound has one atom of the element silicon for every two atoms of the element oxygen. \n Question: Minerals that are not pure elements are made of what?",chemical compounds,isotopes,hydrogen,,
"Support: The sympathetic division controls internal organs and glands during emergencies. It prepares the body for fight or flight ( Figure below ). For example, it increases the heart rate and the flow of blood to the legs, so you can run away from danger. \n Question: What  prepares the body for fight or flight during emergencies?",sympathetic division,abnormal division,gas giants,,
"Support: Seismograms record earthquake strength. Scientists can use them to determine the distance to an earthquake. Using at least three seismograms, they can locate the earthquake's epicenter. Scientists measure earthquake intensity in several ways. So far no one has found a way to predict earthquakes. \n Question: Scientists can use what tool to determine an earthquake's strength?",seismogram,geiger counter,insects,,
"Support: Mitosis vs. Meiosis Comparison. Mitosis produces two diploid daughter cells, genetically identical to the parent cell. Meiosis produces four haploid daughter cells, each genetically unique. See How Cells Divide: Mitosis vs. Meiosis at http://www. pbs. org/wgbh/nova/miracle/divide. html for an animation comparing the two processes. \n Question: What process produces four haploid daughter cells, each genetically unique?",meiosis,electrolysis,carbon compounds,,
"Support: When lactose is absent, a repressor protein binds to the operator. The operator is located between the promoter and the three lac operon genes. The protein blocks the binding of RNA polymerase to the promoter. As a result, the lac genes are not expressed. \n Question: When lactose is absent, a repressor protein binds to what?",operator,differential,triple bonds,,
Support: Dietary proteins are broken down during digestion to provide the amino acids needed for protein synthesis. Any extra proteins in the diet not needed for this purpose are used for energy or stored as fat. One gram of proteins provides 4 Calories of energy. \n Question: One gram of proteins provides how many calories of energy?,four,eight,outward,,
"Support: Cnidarians are aquatic invertebrates in Phylum Cnidaria. They include jellyfish and corals, both of which have radial symmetry. All cnidarians have nematocysts, and many are bioluminescent. They may exist in medusa and/or polyp form. Corals build hard exoskeletons that grow to become coral reefs. \n Question: Corals build hard exoskeletons that grow to become coral what?",reefs,beds,synarthrosis,,
Support: Food allergies are like other allergies. They occur when the immune system reacts to harmless substances as though they were harmful. Almost ten percent of children have food allergies. Some of the foods most likely to cause allergies are shown below ( Figure below ). \n Question: The reaction of which body system causes food allergies?,immune system,cardiac system,the nervous system,,
"Support: The amino acid sequence is the primary structure of a protein. As explained in Figure below , a protein may have up to four levels of structure, from primary to quaternary. The complex structure of a protein allows it to carry out its biological functions. \n Question: What sequence is the primary structure of a protein?",amino acid sequence,processed acid sequence,four,,
Support: A mineral deposit that contains enough minerals to be mined for profit is called an ore . Ores are rocks that contain concentrations of valuable minerals. The bauxite shown in the Figure below is a rock that contains minerals that are used to make aluminum. \n Question: What type of rock contains concentrations of valuable minerals?,ores,sedimentary,trypanosoma,,
"Support: Grazers, such as sea urchins, are organisms that feed on available plants. Sea urchins are omnivorous, eating both plant and animals. The sea urchin mainly feeds on algae on the coral and rocks, along with decomposing matter such as dead fish, mussels, sponges, and barnacles. \n Question: What are organisms that feed on available plants called?",grazers,florophores,chemical energy,,
"Support: gravitational potential energy. Making Connections: Power Power is defined as the rate of energy transferred, or E / t . Fluid flow involves several types of power. Each type of power is identified with a specific type of energy being expended or changed in form. \n Question: What is defined as the rate of energy transferred?",power,charge,one half-life,,
"Support: 16.3 Circulatory and Respiratory Systems Animal respiratory systems are designed to facilitate gas exchange. In mammals, air is warmed and humidified in the nasal cavity. Air then travels down the pharynx and larynx, through the trachea, and into the lungs. In the lungs, air passes. \n Question: In mammals, air is warmed and humidified in what?",nasal cavity,lungs,avoid sexual contact,,
"Support: Archaeological evidence suggests that people have been using tin for at least 5500 years. Tin is used to form many useful alloys (mixtures of two or more metals). Bronze is an alloy of tin and copper, while solder is an alloy of tin and lead. \n Question: What is an alloy of both tin and copper?",bronze,Cobalt,decreasing the resistance,,
"Support: In his book On the Origin of Species , Darwin included a lot of evidence for evolution. Since then, much more evidence has accumulated. The evidence includes millions of fossils, like the one in Figure below . It also includes detailed knowledge of living organisms. \n Question: Who wrote the book, on the origin of species?",darwin,Scopes,ionic bond,,
"Support: The age of a rock in years is its absolute age . Absolute ages are much different from relative ages. The way of determining them is different, too. Absolute ages are determined by radiometric methods, such as carbon-14 dating. These methods depend on radioactive decay. \n Question: The age of a rock in years is its?",absolute age,geological age,weathering,,
"Support: Infancy is the period of most rapid growth after birth. Growth is even faster during infancy that it is during puberty. By the end of the first year, the average baby is twice as long as it was at birth and three times as heavy. \n Question: Which period after birth has the most rapid growth?",infancy,adolescence,hydrogen,,
Support: A white dwarf is a stellar remnant that is very dense. A white dwarf's mass is comparable to the Sun and its volume is comparable to that of Earth. The very low brightness of a white dwarf comes from the emission of stored heat energy. \n Question: What is a stellar remnant that is very dense?,white dwarf,asteroids,solid,,
"Support: Weathering may concentrate some resources. In tropical climates, chemical weathering can be intense. Some minerals dissolve and water carries them away. This leaves behind the materials that are not soluble. Bauxite is aluminum oxide that collects this way. Bauxite is our main source of aluminum ore. \n Question: What is our main source of aluminum ore?",bauxite,coal,position,,
Support: This platform is about to change energy from potential to kinetic. The energy is not lost; it just changes forms. The is on top of a precipice. The rest of the ride runs on the potential energy the platform has when it is at the top. \n Question: What is never lost and just changes forms?,energy,life,egg,,
"Support: Covalent compounds form individual molecules rather than crystals. Compared with ionic compounds, they have low melting and boiling points. They are also poor conductors of electricity. In polar covalent compounds, oppositely charged ends of different molecules attract each other. This affects the properties of polar compounds. \n Question: Covalent compounds form individual molecules rather than what?",crystals,carbon,oxygen,,
"Support: Most natural gas comes from the wells that produce petroleum. An increasing amount comes from a new method. Hydraulic fracturing, called fracking , is very much in the news lately. Fracking makes it easier and quicker to get natural gas from the rock ( Figure below ). \n Question: Where does most natural gas come from?",wells that produce petroleum,recycled cooking oil,understory,,
"Support: Even though they are very strong, bones can fracture , or break. Fractures can happen at different places on a bone. They are usually caused by excess bending stress on the bone. Bending stress is what causes a pencil to break if you bend it too far. \n Question: What usually causes fractures on a bone?",excessive bending stress,compressive stress,cambrian,,
Support: Bacteria and viruses can infect the brain or spinal cord. An infection of the brain is called encephalitis. An infection of the membranes that cover the brain and spinal cord is called meningitis. A vaccine is available to prevent meningitis caused by viruses (see Figure below ). \n Question: An infection of the brain is called?,encephalitis,tuberculosis,eukaryotes,,
"Support: Polluted water can form a frothy green scum on the surface. This ""pond scum"" is actually a living organism, algae. The algae are plant-like protists. Usually the algae are too small to notice, but sometimes algae grow in excess because of the excess nutrients in polluted water. \n Question: What organism constitutes frothy green ""pond scum""?",algae,bacteria,platelets,,
"Support: The mouth is the first digestive organ that food enters. The sight, smell, or taste of food stimulates the release of digestive enzymes by salivary glands inside the mouth. The major salivary enzyme is amylase. It begins the chemical digestion of carbohydrates by breaking down starch into sugar. \n Question: The major salivary enzyme is called?",amylase,synthase,scentia,,
"Support: Myopia is also called nearsightedness. It affects about one third of people. People with myopia can see nearby objects clearly, but distant objects appear blurry. The picture below shows how a person with myopia might see two boys that are a few meters away ( Figure below ). \n Question: What is another name for nearsightedness?",myopia,hyperopia,motor oil,,
"Support: Dynamite was invented by Alfred Nobel in 1866. Nitroglycerin, a very unstable explosive, was already known. Nobel mixed the nitroglycerin with silica to stabilize it and form a solid material. He made a fortune with this discovery and established the Nobel Foundation, which funds the Nobel Prizes every year. \n Question: Who invented dynamite in 1866?",alfred nobel,Louis Pasteur,single-replacement reaction,,
"Support: When milk is pasteurized, it is heated to high temperatures. These high temperatures denature the proteins in bacteria, so they cannot carry out needed functions to grow and multiply. \n Question: Milk is usually subjected to what process, where high temperatures denature the proteins in bacteria so they cannot carry out functions needed to grow and multiply?",pasteurization,vaporization,teeth,,
"Support: Some people think bones are like chalk: dead, dry, and brittle. In reality, bones are very much alive. They consist of living tissues and are supplied with blood and nerves. \n Question: Rather than being dead, dry, and brittle, what support structures of the human body consist of living tissues and are supplied with blood and nerves?",bones,lungs,antartica,,
"Support: Both the increase in pressure and the decrease in temperature cause the volume of the gas sample to decrease. Since both changes are relatively small, the volume does not decrease dramatically. \n Question: If a gas in a closed area experiences increases in pressure and decreases in temperatures, what other attribute of the gas will be affected?",volume,gravity,proteins,,
Support: Gap genes control the expression of other genes within specific regions of cells in the developing organism. This allows specific genes to be expressed in certain cells at the appropriate stage of development. \n Question: What is the term for genes that control the expression of other genes within specific regions of cells in the developing organism?,gap genes,expression genes,electromagnetic energy,,
"Support: When an ionic compound dissociates in water, water molecules surround each ion and separate it from the rest of the solid. Each ion goes its own way in solution. Saylor URL: http://www. saylor. org/books. \n Question: When an ionic compound dissociates in water, water molecules surround each ion and separate it from the rest of the what?",solid,electron shell,electromagnetism,,
"Support: Competition is a relationship between organisms that depend on the same resources. The resources might be food, water, or space. Competition can occur between organisms of the same species or between organisms of different species. \n Question: Competition is a relationship between organisms that depend on the same resources. the resources might be food, water, or what?",space,thought,a gas giant,,
Support: A combination reaction is a reaction in which two or more substances combine to form a single new substance. Combination reactions can also be called synthesis reactions. The general form of a combination reaction is:. \n Question: What kind of reaction is a reaction in which two or more substances combine to form a single new substance?,combination reaction,power reaction,sebum,,
Support: Ecological succession is the process in which a community changes through time. Primary succession occurs in an area that has never before been colonized. Secondary succession occurs in a formerly inhabited area that was disturbed. \n Question: What is the term for the process in which an area that has never before been colonized changes through time?,ecological succession,continuous succession,coefficients,,
Support: Weight is a measure of the force of gravity pulling on an object of a given mass. It equals the mass of the object (in kilograms) times the acceleration due to gravity (9.8 m/s 2 ). \n Question: What equals the mass of the object (in kilograms) times the acceleration due to gravity (9.8 m/s 2 )?,weight,speed of light,it stops occurring,,
"Support: In the modern periodic table, each element is represented by its chemical symbol. The number above each symbol is its atomic number. Atomic numbers increase from left to right and from top to bottom in the table. \n Question: What is denoted by the number above the chemical symbol of each element in a modern periodic table?",atomic number,metallic number,infection,,
"Support: Most scientists agree that the Earth itself is not a living thing. However, the Earth does have some aspects of life. Some scientists argue that the Earth maintains homeostasis, a stable state, just like a living organisms. \n Question: The earth is like organisms in that it maintains a stable state, which is also known as what?",homeostasis,ketosis,renewable,,
"Support: Neurons are the structural and functional units of the nervous system. They consist of a cell body, dendrites, and axon. Neurons transmit nerve impulses to other cells. Types of neurons include sensory neurons, motor neurons, and interneurons. \n Question: What are the structural and functional units of the nervous system, which transmit nerve impulses to other cells?",neurons,axions,matter,,
"Support: Figure 27.11 The amplitudes of waves add. (a) Pure constructive interference is obtained when identical waves are in phase. (b) Pure destructive interference occurs when identical waves are exactly out of phase, or shifted by half a wavelength. \n Question: Pure constructive interference and pure destructive interference are distinguished by whether or not identical waves are what?",in phase,before phase,starches,,
"Support: Polar tundra climates occur near the poles. Tundra climates have permafrost. Permafrost is layer of ground below the surface that is always frozen, even in the summer. Only small plants, such as mosses, can grow in this climate. \n Question: What is the layer of ground below the surface that is always frozen, even in the summer?",permafrost,tundra,allolactose,,
"Support: Today, these ideas about electrons are represented by the electron cloud model. The electron cloud is an area around the nucleus where electrons are likely to be. Figure below shows an electron cloud model for a helium atom. \n Question: What is the area around the nucleus of an atom where electrons are likely to be, called?",electron cloud,electron wave,aminopeptidase,,
Support: The time scale of evolution can vary. Evolution over a short period of time at the level of the population is called microevolution. Evolution over a long period of time above the level of the species is called macroevolution. \n Question: Evolution over a short period of time at the level of the population is called what?,microevolution,grammaticalization,oxygen,,
Support: A circuit must be closed for electric devices such as light bulbs to work. The arrows in the diagram show the direction in which electrons flow through the circuit. The current is considered to flow in the opposite direction. \n Question: A circuit must be what in order for electric devices such as light bulbs to work?,closed,open,it decreases,,
"Support: Gravity can pull soil, mud, and rocks down cliffs and hillsides. This is called mass movement. The most destructive types of mass movement are landslides and mudslides. They occur suddenly and without warming. They engulf everything in their path. \n Question: What is the term for when gravity pulls soil, mud, and rocks down cliffs and hillsides?",mass movement,mass pressure,acid,,
Support: Primates have slower rates of development than other mammals their size. They reach maturity later and have longer lifespans. Being dependent on adults for a long maturation period gives young primates plenty of time to learn from their elders. \n Question: Being dependent on adults for a long maturation period allows young primates ample time for what?,learning,sleeping,mollusks,,
"Support: Bradykinin is a peptide hormone composed of nine amino acids that lowers blood pressure. Its primary structure is arg-pro-pro-gly-phe-ser-pro-phe-arg. Would you expect bradykinin to be positively charged, negatively charged, or neutral at a pH of 6.0? Justify your answer. \n Question: What do we call a peptide hormone composed of nine amino acids that lowers blood pressure?",bradykinin,angiotensin,insectivores,,
"Support: The aphotic zone is water deeper than 200 meters. This is where too little sunlight penetrates for photosynthesis to occur. As a result, producers must make ""food"" by chemosynthesis , or the food must drift down from the water above. \n Question: What is the name of the zone where water is deeper than 200 meters called?",aphotic zone,transition zone,sensory division,,
Support: Weight is a measure of the force of gravity pulling down on an object. Buoyant force pushes up on an object. Weight and buoyant force together determine whether an object sinks or floats. This is illustrated in Figure below . \n Question: What is the measure of the force of gravity pulling down on an object called?,weight,factor,plants,,
"Support: In endocytosis, a substance or particle from outside the cell is engulfed by the cell membrane. The membrane folds over the substance and it becomes completely enclosed by the membrane. There are two main kinds of endocytosis: pinocytosis and phagocytosis. \n Question: What is the term for a particle from outside the cell engulfing the cells membrane?",endocytosis,metastasis,spermatophytes,,
"Support: There are about 50,000 vertebrate species, and they are placed in nine different classes. Five of the classes are fish. The other classes are amphibians, reptiles, birds, and mammals. Table below lists some of the distinguishing traits of each class. \n Question: There are about 50,000 vertebrate species, and they are placed in how many different classes?",nine,four,"static, sliding, rolling",,
"Support: To the extent that behaviors are controlled by genes, they may evolve through natural selection. If behaviors increase fitness , they are likely to become more common over time. If they decrease fitness, they are likely to become less common. \n Question: To the extent that behaviors are controlled by what, they may evolve through natural selection?",genes,rna,plane mirror,,
"Support: n = cv , where v is the observed speed of light in the material. Since the speed of light is always less than only in a vacuum, the index of refraction is always greater than or equal to one. \n Question: The constant ""c"" can be specifically used to represent the (extremely fast) speed of what?",light,electricity,endoskeleton,,
Support: Sometimes deep ocean water rises to the surface. This is called upwelling . Figure below shows why it happens. Strong winds blow surface water away from shore. This allows deeper water to flow to the surface and take its place. \n Question: What is the name for the term that describes deep ocean water rising the surface?,upwelling,percolating,adaptations,,
"Support: Iron filings are attracted by a magnet. This is a physical property of iron but not of most other materials, including sand. How could you use this difference in physical properties to separate a mixture of iron filings and sand?. \n Question: Attraction of a material by a magnet is an example of what type of property?",physical,thermal,pharynx,,
"Support: Subphylum Myriapoda includes arthropods with legs that may vary in number from 10 to 750. This subphylum includes 13,000 species; the most commonly found examples are millipedes and centipedes. All myriapods are terrestrial animals and prefer a humid environment (Figure 15.21). \n Question: Millipedes and centipedes are the most commonly found examples of what group of arthropods?",subphylum myriapoda,unicellular myriapoda,erodes it,,
"Support: If balance, or equilibrium, is to be maintained, there must be no outside influences on the stones. Equilibrium can also be maintained within a population's genes; that means, no evolution can occur. But outside influences usually prevent equilibrium from staying established. \n Question: What happens to evolution when equilibrium is reached within the genes of the population?",it stops occurring,it goes backwards,temperature & precipitation,,
"Support: Native elements contain only atoms of one type of element. They are not combined with other elements. There are very few examples of these types of minerals. Some native elements are rare and valuable. Gold, silver, sulfur, and diamond are examples. \n Question: What do you call elements that contain only atoms of one type of element?",native elements,typical elements,topple and break,,
"Support: Cartilaginous Fish Cartilaginous fish include sharks, rays, and ratfish. Their endoskeleton is made of cartilage instead of bone. They also lack a swim bladder. However, they have a complete vertebral column and jaws. They also have a relatively big brain. shark. \n Question: Lacking a bony endoskeleton, sharks, rays, and ratfish belong to what group of fish?",cartilaginous,invertebrates,the outer core,,
"Support: In humans, each set of chromosomes contains 22 autosomes and 1 sex chromosome . Autosomes are chromosomes that are not directly involved in determining the sex of an individual. The sex chromosomes contain genes that determine the sex of an individual. \n Question: In humans, each set of chromosomes contains 22 of these and 1 sex chromosome?",autosomes,centrosomes,hylonomus,,
Support: The other idea is that evolution occurs by natural selection . Natural selection is the process that results in living things with beneficial traits producing more offspring than others. This results in changes in the traits of living things over time. \n Question: What is the process resulting in living things with beneficial traits producing more offspring?,natural selection,fluid selection,radon,,
"Support: When fuel is burned, most of the energy is released as heat. Some of this heat can be used to do work. Heat cooks food or warms your house. Sometimes the heat is just waste heat. It still heats the environment, though. \n Question: When fuel is burned, most of the energy is released in what form?",heat,precipitation,algae,,
"Support: The digestive system of birds is unique, with a gizzard that contains swallowed stones for grinding food. Birds do not have teeth. What do you think the stones do? They help them digest their food. Defining characteristics of modern birds also include:. \n Question: What does the gizzard in birds contain that allows them to grind food?",swallowed stones,acid,red blood cells,,
Support: Volcanic mountain ranges form when oceanic crust subducts into the mantle at convergent plate boundaries. The Andes Mountains are a chain of coastal volcanic mountains. They are forming as the Nazca plate subducts beneath the South American plate ( Figure below ). \n Question: What forms when oceanic crust subducts into the mantle at convergent plate boundaries?,volcanic mountain ranges,tsunamis,natural resources,,
"Support: Chlamydia is the most common STI in the United States. As shown in the graph in Figure below , females are much more likely than males to develop chlamydia. Like most STIs, rates of chlamydia are highest in teens and young adults. \n Question: Which  is the most common sti (sexually transmitted infection) in the united states?",chlamydia,AIDS,lens,,
"Support: Excretion is the process of removing wastes and excess water from the body. It is one of the major ways the body maintains homeostasis. Organs of excretion make up the excretory system. They include the kidneys, large intestine, liver, skin, and lungs. \n Question: What is the process of removing wastes and excess water from the body?",excretion,depletion,"mutualism, parasitism, commensalism",,
Support: Many fungi get organic compounds from living organisms. They have close relationships with other species. A close relationship between two species is called a symbiotic relationship. Two symbiotic relationships in fungi are mycorrhiza and lichen. These relationships are beneficial for both species. \n Question: What do you call a close relationship between two species that benefits both?,symbiotic relationship,commensalism,electricity,,
"Support: Pneumonia is a disease in which some of the alveoli of the lungs fill with fluid so gas exchange cannot occur. Symptoms usually include coughing, chest pain, and difficulty breathing. Pneumonia may be caused by an infection or injury of the lungs. \n Question: What is the disease where some alveoli of the lungs fill with fluid?",pneumonia,leukemia,differences in heating,,
"Support: The experiment is a cornerstone in the scientific approach to gaining deeper knowledge about the natural world. Scientists use the principles of their hypothesis to make predictions, and then test them to see if their predictions are to be confirmed or rejected. \n Question: Scientists use the principles of what to make predictions, which they then test?",their hypothesis,their teachers,solubility,,
"Support: Muscles That Move the Tongue Although the tongue is obviously important for tasting food, it is also necessary for mastication, deglutition (swallowing), and speech (Figure 11.11 and Figure 11.12). Because it is so moveable, the tongue facilitates complex speech patterns and sounds. \n Question: Besides tasting food, what organ is necessary for mastication, deglutition (swallowing), and speech?",tongue,throat,no effect,,
"Support: The instantaneous velocity of an object is the velocity of the object at a given moment. If the object is moving with constant velocity, then the instantaneous velocity at every moment, the average velocity, and the constant velocity are all the same. \n Question: What is defined as the velocity of the object at a given moment?",instantaneous velocity,specific gravity,bacteria and viruses,,
"Support: Some of the largest, and most beautiful, natural crystals can be found in the Naica mine, in Mexico. These gypsum crystals were formed over thousands of years. Groundwater that is rich in calcium and sulfur flowed through an underground cave. Check it out:. \n Question: In what country can some of the largest natural crystals be found?",mexico,spain,gyroscope,,
Support: Chemical reactions that take place inside living things are called biochemical reactions . Living things depend on biochemical reactions for more than just energy. Every function and structure of a living organism depends on thousands of biochemical reactions taking place in each cell. \n Question: What do you call chemical reactions that take place inside living things?,biochemical reactions,contaminated reactions,strong gravitational fields,,
"Support: Roots are important organs in all vascular plants. Most vascular plants have two types of roots: primary roots that grow downward and secondary roots that branch out to the side. Together, all the roots of a plant make up a root system . \n Question: In vascular plants, do primary roots grow downward or to the side?",downward,to the side,chlorophyll,,
